Cust ID,First Name,Middle Name,Last Name,Prefix,Suffix,Address Line 1,Address Line 2,City,State,Zip,DOB
CustID_101,ALAN LANE,,MENTZER,,,,,,,,
CustID_102,HAPPY,,TRAVELLER,,,,,,,,1965-02-05 00:00:00
CustID_103,DILSON,,ROCKLIN,,,,,,,,1983-03-15 00:00:00
CustID_104,HAPPY,,TRAVELLER,,,,,,,,1981-01-01 00:00:00
CustID_106,HAPPY,,TRAVELLER,,,,,,,,1981-01-01 00:00:00
CustID_108,AARON,,WARNER,,,,,,,,11/24/1987
CustID_109,AMY,,BALDWIN,,,,,,,,1990-03-23 00:00:00
CustID_110,JOHNATHAN,,SMITH,,,,,,,,1972-07-07 00:00:00
CustID_112,JENNIFER,,GONZALEZ,,,,,,,,2000-09-01 00:00:00
CustID_113,PHILIP,,VALDEZ,,,,,,,,1964-08-14 00:00:00
CustID_114,DANNY,,ARMSTRONG,,,,,,,,1964-07-02 00:00:00
CustID_115,VALERIE,,KAUFMAN,,,,,,,,1973-09-18 00:00:00
CustID_116,WILLIAM,,DUARTE,,,,,,,,1996-08-02 00:00:00
CustID_117,JOSEPH,,MORROW,,,,,,,,1994-07-28 00:00:00
CustID_118,ROBERT,,HODGE,,,,,,,,1972-08-15 00:00:00
CustID_119,LYN,,GOODMAN,,,,,,,,1971-02-15 00:00:00
CustID_120,ROBERT,,WILLIAMS,,,,,,,,1982-10-29 00:00:00
CustID_121,WILLIAM,,RICHARDSON,,,,,,,,1973-08-24 00:00:00
CustID_122,TODD,,TAYLOR,,,,,,,,1960-11-14 00:00:00
CustID_125,JASON,,LOPEZ,,,,,,,,1995-04-25 00:00:00
CustID_126,CYNTHIA,,FLORES,,,,,,,,1993-09-21 00:00:00
CustID_127,TAMMY,,DALTON,,,,,,,,1970-09-25 00:00:00
CustID_128,EVELYN,,JENNINGS,,,,,,,,1972-03-09 00:00:00
CustID_129,STEVE,,GORDON,,,,,,,,1967-09-01 00:00:00
CustID_130,EMILY ,,JUAREZ,,,,,,,,1977-07-02 00:00:00
CustID_131,HAPPY,,TRAVELLER,,,,,,,,1981-01-01 00:00:00
CustID_132,HAPPY,,TRAVELLER,,,,,,,,1965-02-05 00:00:00
CustID_133,TRACEY,JAMES,SMITH,,,,,,,,1976-05-17 00:00:00
CustID_134,HAPPY,,TRAVELLER,,,,,,,,1981-01-01 00:00:00
CustID_135,HAPPY,,TRAVELLER,,,,,,,,1981-01-01 00:00:00
CustID_136,FRANK,,MOSS,,,,,,,,1990-01-01 00:00:00
CustID_002,JOCELYN,,SMITH,,,,,,,,1980-02-21 00:00:00
CustID_003,COSETTE,,BERNARD,,,,,,,,1942-11-18 00:00:00
CustID_004,ICHIKA,,STEVENS,,,,,,,,1988-08-18 00:00:00
CustID_005,YARA,,BONDARENKO,,,,,,,,1991-03-11 00:00:00
CustID_006,MINA,,MELETIS,,,,,,,,1990-10-14 00:00:00
CustID_007,TEST V,,SPECIMEN,,,,,,,,1958-08-17 00:00:00
CustID_008,DUMITRU,,MELETIS,,,,,,,,1990-10-14 00:00:00
CustID_009,TEST V,,SPECIMEN,,,,,,,,1958-08-17 00:00:00
CustID_011,VOID V,,VOID,,,,,,,,2020-01-01 00:00:00
CustID_012,TEST W,,SPECIMEN,,,,,,,,1980-01-01 00:00:00
CustID_013,AATISH A,,TASEER,,,,,,,,1980-11-27 00:00:00
CustID_015,VOID V,,VOID,,,,,,,,not clear
CustID_016,TEST V,,SPECIMEN,,,,,,,,1920-01-01 00:00:00
CustID_017,VOID V,,VOID,,,,,,,,2020-01-01 00:00:00
CustID_018,CHOW,,LAI PING,,,,,,,,1950-07-10 00:00:00
CustID_019,TEST V,,SPECIMEN,,,,,,,,1958-08-17 00:00:00
CustID_020,TEST V,,SPECIMEN,,,,,,,,1958-08-17 00:00:00
CustID_021,USAUSAUSAASA,,SAASA,,,,,,,,not clear
CustID_024,TEST V,,SPECIMEN,,Sr,,,,,,not clear
CustID_025,GARCIA LOPEZ,,ROSA MARIA,,,,,,,,1956-05-23 00:00:00
CustID_028,JOSE,,PRINCE,,,,,,,,1978-03-12 00:00:00
CustID_029,TEST V,,SPECIMEN,,,,,,,,1920-01-01 00:00:00
CustID_031,MOHINI,,VERMA,,,,,,,,1981-10-08 00:00:00
CustID_032,TEST V,,SPECIMEN,,,,,,,,1920-01-01 00:00:00
CustID_202,Tao,,Sample,,,1234 Sample Street Union Drove AL 35175-5107,,Union Grove,Alabama,35175-5107,2000-05-06 00:00:00
